distance_km,angle_deg,user_x_km,user_y_km,S_distance_km,I1_distance_km,I2_distance_km,closest_node,SINR_dB,S_path_loss_db,I1_path_loss_db,I2_path_loss_db,environment
10,315,7.071067811865473,-7.071067811865477,10.0,58.35889978792856,68.27492042202081,S,6.06027474267255,125.4515509775841,134.2667189560253,135.50508279189677,dense_urban
10,315,7.071067811865473,-7.071067811865477,10.0,58.35889978792856,68.27492042202081,S,6.06027474267255,125.4515509775841,134.2667189560253,135.50508279189677,high_rise
10,315,7.071067811865473,-7.071067811865477,10.0,58.35889978792856,68.27492042202081,S,6.06027474267255,125.4515509775841,134.2667189560253,135.50508279189677,suburban
10,315,7.071067811865473,-7.071067811865477,10.0,58.35889978792856,68.27492042202081,S,6.06027474267255,125.4515509775841,134.2667189560253,135.50508279189677,urban
30,315,21.21320343559642,-21.21320343559643,30.0,48.65473824174234,78.32237404407397,S,1.4604097243013971,129.60160518168084,132.88281455828883,136.61438557923864,dense_urban
30,315,21.21320343559642,-21.21320343559643,30.0,48.65473824174234,78.32237404407397,S,1.4604097243013971,129.60160518168084,132.88281455828883,136.61438557923864,high_rise
30,315,21.21320343559642,-21.21320343559643,30.0,48.65473824174234,78.32237404407397,S,1.4604097243013971,129.60160518168084,132.88281455828883,136.61438557923864,suburban
30,315,21.21320343559642,-21.21320343559643,30.0,48.65473824174234,78.32237404407397,S,1.4604097243013971,129.60160518168084,132.88281455828883,136.61438557923864,urban
50,315,35.35533905932736,-35.355339059327385,50.0,46.138984842402444,91.69145976134519,I1,-1.9812427009469276,133.08626222672717,132.49142405779975,137.91078214471565,dense_urban
50,315,35.35533905932736,-35.355339059327385,50.0,46.138984842402444,91.69145976134519,I1,-1.9812427009469276,133.08626222672717,132.49142405779975,137.91078214471565,high_rise
50,315,35.35533905932736,-35.355339059327385,50.0,46.138984842402444,91.69145976134519,I1,-1.9812427009469276,133.08626222672717,132.49142405779975,137.91078214471565,suburban
50,315,35.35533905932736,-35.355339059327385,50.0,46.138984842402444,91.69145976134519,I1,-1.9812427009469276,133.08626222672717,132.49142405779975,137.91078214471565,urban
75,315,53.033008588991045,-53.03300858899108,75.0,54.366431586330584,111.23617077978537,I1,-3.9428851976055945,136.26189936396085,133.7201372258158,139.52544595811278,dense_urban
75,315,53.033008588991045,-53.03300858899108,75.0,54.366431586330584,111.23617077978537,I1,-3.9428851976055945,136.26189936396085,133.7201372258158,139.52544595811278,high_rise
75,315,53.033008588991045,-53.03300858899108,75.0,54.366431586330584,111.23617077978537,I1,-3.9428851976055945,136.26189936396085,133.7201372258158,139.52544595811278,suburban
75,315,53.033008588991045,-53.03300858899108,75.0,54.366431586330584,111.23617077978537,I1,-3.9428851976055945,136.26189936396085,133.7201372258158,139.52544595811278,urban
100,315,70.71067811865473,-70.71067811865477,100.0,70.9409038889052,132.6259687479521,I1,-4.56108432371169,138.63268043773252,135.81241089735792,141.01258417188566,dense_urban
100,315,70.71067811865473,-70.71067811865477,100.0,70.9409038889052,132.6259687479521,I1,-4.56108432371169,138.63268043773252,135.81241089735792,141.01258417188566,high_rise
100,315,70.71067811865473,-70.71067811865477,100.0,70.9409038889052,132.6259687479521,I1,-4.56108432371169,138.63268043773252,135.81241089735792,141.01258417188566,suburban
100,315,70.71067811865473,-70.71067811865477,100.0,70.9409038889052,132.6259687479521,I1,-4.56108432371169,138.63268043773252,135.81241089735792,141.01258417188566,urban
