distance_km,angle_deg,user_x_km,user_y_km,S_distance_km,I1_distance_km,I2_distance_km,closest_node,SINR_dB,S_path_loss_db,I1_path_loss_db,I2_path_loss_db,environment
10,180,-10.0,1.2246467991473533e-15,10.0,75.0,70.53367989832941,S,7.1314609469488675,125.4515509775841,136.26189936396085,135.7661083073681,dense_urban
10,180,-10.0,1.2246467991473533e-15,10.0,75.0,70.53367989832941,S,7.1314609469488675,125.4515509775841,136.26189936396085,135.7661083073681,high_rise
10,180,-10.0,1.2246467991473533e-15,10.0,75.0,70.53367989832941,S,7.1314609469488675,125.4515509775841,136.26189936396085,135.7661083073681,suburban
10,180,-10.0,1.2246467991473533e-15,10.0,75.0,70.53367989832941,S,7.1314609469488675,125.4515509775841,136.26189936396085,135.7661083073681,urban
30,180,-30.0,3.67394039744206e-15,30.0,95.0,84.11301920630359,S,4.4665389423457516,129.60160518168084,138.20515804166132,137.19844921070256,dense_urban
30,180,-30.0,3.67394039744206e-15,30.0,95.0,84.11301920630359,S,4.4665389423457516,129.60160518168084,138.20515804166132,137.19844921070256,high_rise
30,180,-30.0,3.67394039744206e-15,30.0,95.0,84.11301920630359,S,4.4665389423457516,129.60160518168084,138.20515804166132,137.19844921070256,suburban
30,180,-30.0,3.67394039744206e-15,30.0,95.0,84.11301920630359,S,4.4665389423457516,129.60160518168084,138.20515804166132,137.19844921070256,urban
50,180,-50.0,6.123233995736766e-15,50.0,115.0,99.87492177719089,S,2.259499913452367,133.08626222672717,139.80571808459555,138.62222803821336,dense_urban
50,180,-50.0,6.123233995736766e-15,50.0,115.0,99.87492177719089,S,2.259499913452367,133.08626222672717,139.80571808459555,138.62222803821336,high_rise
50,180,-50.0,6.123233995736766e-15,50.0,115.0,99.87492177719089,S,2.259499913452367,133.08626222672717,139.80571808459555,138.62222803821336,suburban
50,180,-50.0,6.123233995736766e-15,50.0,115.0,99.87492177719089,S,2.259499913452367,133.08626222672717,139.80571808459555,138.62222803821336,urban
75,180,-75.0,9.184850993605149e-15,75.0,140.0,121.34661099511597,S,0.40233129041684695,136.26189936396085,141.4726590276027,140.2593087049744,dense_urban
75,180,-75.0,9.184850993605149e-15,75.0,140.0,121.34661099511597,S,0.40233129041684695,136.26189936396085,141.4726590276027,140.2593087049744,high_rise
75,180,-75.0,9.184850993605149e-15,75.0,140.0,121.34661099511597,S,0.40233129041684695,136.26189936396085,141.4726590276027,140.2593087049744,suburban
75,180,-75.0,9.184850993605149e-15,75.0,140.0,121.34661099511597,S,0.40233129041684695,136.26189936396085,141.4726590276027,140.2593087049744,urban
100,180,-100.0,1.2246467991473532e-14,100.0,165.0,143.96180048887967,S,-0.9152486148018912,138.63268043773252,142.8753855339631,141.71032694099944,dense_urban
100,180,-100.0,1.2246467991473532e-14,100.0,165.0,143.96180048887967,S,-0.9152486148018912,138.63268043773252,142.8753855339631,141.71032694099944,high_rise
100,180,-100.0,1.2246467991473532e-14,100.0,165.0,143.96180048887967,S,-0.9152486148018912,138.63268043773252,142.8753855339631,141.71032694099944,suburban
100,180,-100.0,1.2246467991473532e-14,100.0,165.0,143.96180048887967,S,-0.9152486148018912,138.63268043773252,142.8753855339631,141.71032694099944,urban
