distance_km,angle_deg,user_x_km,user_y_km,S_distance_km,I1_distance_km,I2_distance_km,closest_node,SINR_dB,S_path_loss_db,I1_path_loss_db,I2_path_loss_db,environment
10,135,-7.071067811865475,7.071067811865476,10.0,72.417116868476,63.15485128924557,S,6.574138017410016,125.4515509775841,135.97837974467717,134.88550862678767,dense_urban
10,135,-7.071067811865475,7.071067811865476,10.0,72.417116868476,63.15485128924557,S,6.574138017410016,125.4515509775841,135.97837974467717,134.88550862678767,high_rise
10,135,-7.071067811865475,7.071067811865476,10.0,72.417116868476,63.15485128924557,S,6.574138017410016,125.4515509775841,135.97837974467717,134.88550862678767,suburban
10,135,-7.071067811865475,7.071067811865476,10.0,72.417116868476,63.15485128924557,S,6.574138017410016,125.4515509775841,135.97837974467717,134.88550862678767,urban
30,135,-21.213203435596423,21.213203435596427,30.0,88.7846633525607,64.15298686811214,S,3.093131886149561,129.60160518168084,137.6440685783636,135.00947454420728,dense_urban
30,135,-21.213203435596423,21.213203435596427,30.0,88.7846633525607,64.15298686811214,S,3.093131886149561,129.60160518168084,137.6440685783636,135.00947454420728,high_rise
30,135,-21.213203435596423,21.213203435596427,30.0,88.7846633525607,64.15298686811214,S,3.093131886149561,129.60160518168084,137.6440685783636,135.00947454420728,suburban
30,135,-21.213203435596423,21.213203435596427,30.0,88.7846633525607,64.15298686811214,S,3.093131886149561,129.60160518168084,137.6440685783636,135.00947454420728,urban
50,135,-35.35533905932737,35.35533905932738,50.0,106.40109998356482,71.01180329236553,S,0.5441409568735106,133.08626222672717,139.15206843871033,135.82044920668463,dense_urban
50,135,-35.35533905932737,35.35533905932738,50.0,106.40109998356482,71.01180329236553,S,0.5441409568735106,133.08626222672717,139.15206843871033,135.82044920668463,high_rise
50,135,-35.35533905932737,35.35533905932738,50.0,106.40109998356482,71.01180329236553,S,0.5441409568735106,133.08626222672717,139.15206843871033,135.82044920668463,suburban
50,135,-35.35533905932737,35.35533905932738,50.0,106.40109998356482,71.01180329236553,S,0.5441409568735106,133.08626222672717,139.15206843871033,135.82044920668463,urban
75,135,-53.03300858899106,53.033008588991066,75.0,129.39973383499998,85.59506008088564,S,-1.2812003902524525,136.26189936396085,140.80355222665105,137.34217450838594,dense_urban
75,135,-53.03300858899106,53.033008588991066,75.0,129.39973383499998,85.59506008088564,S,-1.2812003902524525,136.26189936396085,140.80355222665105,137.34217450838594,high_rise
75,135,-53.03300858899106,53.033008588991066,75.0,129.39973383499998,85.59506008088564,S,-1.2812003902524525,136.26189936396085,140.80355222665105,137.34217450838594,suburban
75,135,-53.03300858899106,53.033008588991066,75.0,129.39973383499998,85.59506008088564,S,-1.2812003902524525,136.26189936396085,140.80355222665105,137.34217450838594,urban
100,135,-70.71067811865474,70.71067811865476,100.0,153.0274098174086,104.21301460790407,S,-2.3705814988208678,138.63268043773252,142.23130250393564,138.97786878687083,dense_urban
100,135,-70.71067811865474,70.71067811865476,100.0,153.0274098174086,104.21301460790407,S,-2.3705814988208678,138.63268043773252,142.23130250393564,138.97786878687083,high_rise
100,135,-70.71067811865474,70.71067811865476,100.0,153.0274098174086,104.21301460790407,S,-2.3705814988208678,138.63268043773252,142.23130250393564,138.97786878687083,suburban
100,135,-70.71067811865474,70.71067811865476,100.0,153.0274098174086,104.21301460790407,S,-2.3705814988208678,138.63268043773252,142.23130250393564,138.97786878687083,urban
