Distance_km,Min_SINR_dB,Max_SINR_dB,Mean_SINR_dB,Std_SINR_dB,Variation_dB,Best_Angle_deg,Worst_Angle_deg
10,5.295911617417001,7.247287554544359,6.295109403662845,0.6936177246107541,1.9513759371273576,210,30
30,-0.9913251491805086,4.713827446187004,2.010534767635877,2.1365183510002352,5.705152595367513,210,30
50,-7.396307827875801,2.5433801682063946,-1.6511913252091122,3.6660755999817702,9.939687996082196,210,0
75,-11.265919786699211,0.6725996819568819,-3.9295056473693504,4.240125633287072,11.938519468656093,210,0
100,-9.055812133488073,-0.6797190994222211,-4.260671062388512,3.1345366979320013,8.376093034065853,210,0
