distance_km,angle_deg,user_x_km,user_y_km,S_distance_km,I1_distance_km,I2_distance_km,closest_node,SINR_dB,S_path_loss_db,I1_path_loss_db,I2_path_loss_db,environment
10,90,6.123233995736766e-16,10.0,10.0,65.76473218982953,56.56117904605799,S,5.812001414630887,125.4515509775841,135.20633508099343,134.02431965442017,dense_urban
10,90,6.123233995736766e-16,10.0,10.0,65.76473218982953,56.56117904605799,S,5.812001414630887,125.4515509775841,135.20633508099343,134.02431965442017,high_rise
10,90,6.123233995736766e-16,10.0,10.0,65.76473218982953,56.56117904605799,S,5.812001414630887,125.4515509775841,135.20633508099343,134.02431965442017,suburban
10,90,6.123233995736766e-16,10.0,10.0,65.76473218982953,56.56117904605799,S,5.812001414630887,125.4515509775841,135.20633508099343,134.02431965442017,urban
30,90,1.83697019872103e-15,30.0,30.0,71.58910531638178,41.80312099880449,S,0.5239215069827984,129.60160518168084,135.8856477612107,131.78158435885385,dense_urban
30,90,1.83697019872103e-15,30.0,30.0,71.58910531638178,41.80312099880449,S,0.5239215069827984,129.60160518168084,135.8856477612107,131.78158435885385,high_rise
30,90,1.83697019872103e-15,30.0,30.0,71.58910531638178,41.80312099880449,S,0.5239215069827984,129.60160518168084,135.8856477612107,131.78158435885385,suburban
30,90,1.83697019872103e-15,30.0,30.0,71.58910531638178,41.80312099880449,S,0.5239215069827984,129.60160518168084,135.8856477612107,131.78158435885385,urban
50,90,3.061616997868383e-15,50.0,50.0,82.00609733428362,33.103396735095764,I2,-3.887711376577214,133.08626222672717,136.99018421518434,130.2110344467056,dense_urban
50,90,3.061616997868383e-15,50.0,50.0,82.00609733428362,33.103396735095764,I2,-3.887711376577214,133.08626222672717,136.99018421518434,130.2110344467056,high_rise
50,90,3.061616997868383e-15,50.0,50.0,82.00609733428362,33.103396735095764,I2,-3.887711376577214,133.08626222672717,136.99018421518434,130.2110344467056,suburban
50,90,3.061616997868383e-15,50.0,50.0,82.00609733428362,33.103396735095764,I2,-3.887711376577214,133.08626222672717,136.99018421518434,130.2110344467056,urban
75,90,4.592425496802574e-15,75.0,75.0,99.24716620639605,37.50003084134363,I2,-6.165222172996421,136.26189936396085,138.56958533200893,131.03001200123708,dense_urban
75,90,4.592425496802574e-15,75.0,75.0,99.24716620639605,37.50003084134363,I2,-6.165222172996421,136.26189936396085,138.56958533200893,131.03001200123708,high_rise
75,90,4.592425496802574e-15,75.0,75.0,99.24716620639605,37.50003084134363,I2,-6.165222172996421,136.26189936396085,138.56958533200893,131.03001200123708,suburban
75,90,4.592425496802574e-15,75.0,75.0,99.24716620639605,37.50003084134363,I2,-6.165222172996421,136.26189936396085,138.56958533200893,131.03001200123708,urban
100,90,6.123233995736766e-15,100.0,100.0,119.26860441876562,54.46714377312526,I2,-6.1972695293545605,138.63268043773252,140.11331303029257,133.73429987170783,dense_urban
100,90,6.123233995736766e-15,100.0,100.0,119.26860441876562,54.46714377312526,I2,-6.1972695293545605,138.63268043773252,140.11331303029257,133.73429987170783,high_rise
100,90,6.123233995736766e-15,100.0,100.0,119.26860441876562,54.46714377312526,I2,-6.1972695293545605,138.63268043773252,140.11331303029257,133.73429987170783,suburban
100,90,6.123233995736766e-15,100.0,100.0,119.26860441876562,54.46714377312526,I2,-6.1972695293545605,138.63268043773252,140.11331303029257,133.73429987170783,urban
