episode,eval_reward,jain_index,n_outage,mean_battery_soc
10,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
20,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
30,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
40,-6.065278054270633,0.2865537417807892,0.0,63.676799145558334
50,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
60,-9.904838163553844,0.0758352813496692,0.0,63.79109354165796
70,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
80,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
90,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
100,-6.846941451549776,0.07178713934301846,0.0,63.73206576388018
110,-6.761053214584145,0.0758352813496692,0.0,63.79109354165796
120,-8.864864435310912,0.0758352813496692,0.0,63.78692687499129
130,-5.735389314676784,0.16236920961740842,0.0,63.80353525666945
140,-5.443928480668256,0.16225665267842837,0.0,63.80631303444723
150,-5.714255826482983,0.16226745362291328,0.0,63.77922970111389
160,-5.453069947237366,0.12099187522613652,0.0,63.804924145558346
170,-6.259857884275577,0.21265499917847686,0.0,63.55457692333612
180,-2.4068340696932657,0.11597526626446142,0.0,63.59289210804336
190,-7.368627326144714,0.11058671682177584,0.0,63.21447817080965
200,-5.3060894736191795,0.18769194384588336,0.0,63.658743590002786
210,-5.173747403675971,0.1514736755314785,0.0,63.78686859000278
220,-10.034505155943569,0.0758352813496692,0.0,63.79728525666945
230,-2.0686949471477094,0.14176639957661236,0.0,63.68073933026559
240,-2.065566833136102,0.12846373828398938,0.0,63.68004488582114
250,-3.554694370383004,0.07415253597750628,0.0,63.563436504142985
260,-5.179083703694838,0.16225665267842837,0.0,63.78686859000278
270,-10.508645118416272,0.0758352813496692,0.0,63.840688034447226
280,-10.328769063462456,0.09051251467626908,0.0,63.73304914555834
290,-10.24147741967537,0.07570828638145162,0.0,63.739993590002776
300,-10.457679101650841,0.1328583945677544,0.0,63.69138247889167
