policy,reward_mean,reward_std,jain_mean,jain_std,outage_mean,outage_std,soc_mean,soc_std,throughput_mean,throughput_std
random,-70.26647984365181,17.201088764445768,0.10074687303045034,0.07247890673322857,27.46,3.293690938749415,60.67180944102178,21.505444655889697,67.6759004843566,13.101951476988496
max_sinr,-12.193548406194429,17.733666559819827,0.09114342873603745,0.04448653659276733,0.0,0.0,61.38299342648302,21.81580535122279,258.3662584949492,16.880538929146937
dqn,-6.967060862080786,13.960992467361942,0.12091477584241316,0.1087816558467274,0.0,0.0,61.33416222887823,21.79091211212875,195.56981578423688,43.444944616419235
